Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-05,384.369200274692,393.3497920629513,382.60901523586364,390.7633972167969,5904018,0.0,0.0
2012-01-06,387.6022130112106,392.4517311054153,381.15417034460233,388.5002746582031,3931557,0.0,0.0
2012-01-09,387.8896175071704,392.4876914250237,375.8556302263419,390.8711853027344,3845646,0.0,0.0
2012-01-10,393.43962179913484,409.5867261579444,393.43962179913484,407.2876892089844,6069096,0.0,0.0
2012-01-11,408.79644853635114,413.4663498232499,402.76148551984545,412.0653991699219,4396176,0.0,0.0
2012-01-12,410.59252205540827,421.24351467860953,403.9289240351486,406.5692138671875,5465009,0.0,0.0
2012-01-13,409.1556437583833,423.14738947902305,406.6410760766017,421.1896057128906,5014075,0.0,0.0
2012-01-16,418.4954497800258,434.12165848961104,411.742042888243,431.6968994140625,4925682,0.0,0.0
2012-01-17,434.6605656156534,458.01012235191706,434.6605656156534,455.2799987792969,6813906,0.0,0.0
2012-01-18,454.41779525752617,462.30275106686594,443.2998275051146,445.6527099609375,7361262,0.0,0.0
2012-01-19,450.8255653615834,460.32702749145136,447.59255329976185,458.7823486328125,4449406,0.0,0.0
2012-01-20,461.2071666101864,464.4761420076882,451.45425879933435,457.7945861816406,5514394,0.0,0.0
2012-01-23,455.85470553482605,465.91297635165563,440.42607090583454,458.8362731933594,11460876,0.0,0.0
2012-01-24,463.3266148327589,490.86109147671533,462.19504072471034,485.6164245605469,12254886,0.0,0.0
2012-01-25,485.6702361026065,491.16634626354033,472.81001614556897,478.0187683105469,6968337,0.0,0.0
2012-01-27,483.1557580709172,498.6024009665347,476.7436033697277,496.2674255371094,6682002,0.0,0.0
2012-01-30,491.77715575729053,493.4116188731976,465.7513941448468,468.8946228027344,4611111,0.0,0.0
2012-01-31,473.0974549529776,474.53434384188665,459.08775128722465,470.8702697753906,9500521,0.0,0.0
2012-02-01,470.22366538964695,484.17949832189345,464.8352951924003,483.0479736328125,7372667,0.0,0.0
2012-02-02,488.47216058455507,494.6328696574443,482.0780132107529,489.2983703613281,6649706,0.0,0.0
2012-02-03,488.5441057323096,490.3402292091035,479.86885252536666,486.6042785644531,3953160,0.0,0.0
2012-02-06,493.57311739813304,501.97891790261457,489.40610606073625,497.506591796875,5029398,0.0,0.0
2012-02-07,501.11685211080254,501.11685211080254,484.2513294645162,486.56829833984375,4848473,0.0,0.0
2012-02-08,486.7479366098704,495.6925902333829,484.95181330151115,491.23822021484375,3747699,0.0,0.0
2012-02-09,489.47808941494105,492.6751884326745,481.4315208141277,486.8377990722656,4724952,0.0,0.0
2012-02-10,483.15567737613355,493.9323676130195,480.10228263121337,485.31103515625,3808199,0.0,0.0
2012-02-13,486.7120103390152,486.7120103390152,473.0255796984787,477.138671875,5562740,0.0,0.0
2012-02-14,475.97139515263774,502.55391991119706,473.5106723972161,495.5490417480469,4569243,0.0,0.0
2012-02-15,503.3261213091408,525.5441018762589,503.3261213091408,522.7062377929688,8671513,0.0,0.0
2012-02-16,517.6410330351162,527.5735543413612,514.8749969588021,520.3531494140625,5016546,0.0,0.0
2012-02-17,523.6223403797296,550.2587830818879,517.0306170271923,519.8505249023438,9588433,0.0,0.0
2012-02-21,520.8741525258887,531.2018239893611,516.5634370871225,519.7066650390625,4853180,0.0,0.0
2012-02-22,521.2334422111785,526.1188741825521,507.960115437189,511.1751708984375,6779436,0.0,0.0
2012-02-23,508.40913919547813,513.3304848058704,497.524657912542,502.7154541015625,5664775,0.0,0.0
2012-02-24,505.0683631892447,509.181455540548,481.5930622422942,484.4488830566406,5436767,0.0,0.0
2012-02-27,479.6892118523779,484.88000795386364,462.9673420710365,467.67315673828125,5668177,0.0,0.0
2012-02-28,472.64840104883865,488.3285294230691,459.08771692611697,484.520751953125,9477146,0.0,0.0
2012-02-29,490.37615094308353,495.36937330486097,465.9130267271964,469.8824157714844,9253140,0.0,0.0
2012-03-01,468.5533125335778,468.5533125335778,453.35816404861146,459.0518493652344,7183536,0.0,0.0
2012-03-02,463.3983382484035,474.516305429449,456.6269999074568,466.8648376464844,5530313,0.0,0.0
2012-03-05,463.03928710487185,463.12907108828614,452.0829278760843,455.0465393066406,3785870,0.0,0.0
2012-03-06,452.2624641424565,469.8644136096302,442.2041932092572,443.6590881347656,6304637,0.0,0.0
2012-03-07,442.20410589193875,449.72987547826455,434.66042884753364,444.5570373535156,5709262,0.0,0.0
2012-03-09,453.6994176809059,470.5829498230154,452.7475101640053,467.8348693847656,6192355,0.0,0.0
2012-03-12,474.8936435549807,488.47228735030757,474.8936435549807,484.5926818847656,6440044,0.0,0.0
2012-03-13,489.29847004211706,493.9324580521502,487.1072476071391,489.1548156738281,3485542,0.0,0.0
2012-03-14,497.52454750952046,505.6969097213276,496.626510664978,501.6915588378906,6052284,0.0,0.0
2012-03-15,499.4823412684222,501.04497671524314,484.46681367552986,489.0827941894531,4040635,0.0,0.0
2012-03-16,492.7829808048653,496.39318481348363,472.0916704069698,474.1752014160156,7069088,0.0,0.0
2012-03-19,475.6121024293163,476.8334605925194,462.0693725223367,465.75140380859375,3823886,0.0,0.0
2012-03-20,466.27225741105514,472.7382822483002,459.80623257381,462.356689453125,3823713,0.0,0.0
2012-03-21,461.69203673318236,487.6998339549482,458.87212989539074,483.6585693359375,6648729,0.0,0.0
2012-03-22,481.37756894385234,489.9450813871522,463.129025445221,465.8771057128906,5477647,0.0,0.0
2012-03-23,469.1460094362621,475.6120339175219,462.2848368219541,467.2420959472656,3590799,0.0,0.0
2012-03-26,466.2003198951729,466.2003198951729,457.6508146323453,459.7163391113281,2872901,0.0,0.0
2012-03-27,465.19451312737255,474.89354953697114,459.17750735508076,468.1401672363281,3973146,0.0,0.0
2012-03-28,465.4819964658428,475.25286164423824,464.3504223006132,469.79266357421875,4141455,0.0,0.0
2012-03-29,463.3265189351994,466.1823394756379,457.68670502148206,460.00372314453125,4393489,0.0,0.0
2012-03-30,463.29072368080864,472.37908258082905,460.7940876703481,470.2237243652344,4765610,0.0,0.0
2012-04-02,469.1459386799822,480.24594898750547,465.78718005563843,478.64739990234375,2958588,0.0,0.0
2012-04-03,482.83234648616707,491.1304565023478,482.0780132107529,489.2983703613281,3980855,0.0,0.0
2012-04-04,485.3469088403631,486.1372049837056,479.3478606002063,483.263427734375,1984155,0.0,0.0
2012-04-09,477.42610325595683,478.4678439470895,464.9251162986637,466.3979187011719,2730296,0.0,0.0
2012-04-10,469.145990205243,471.1756011694703,458.3692502903306,461.7100524902344,3511278,0.0,0.0
2012-04-11,458.01012860710915,465.1945735481795,454.7771160506634,461.1712646484375,2918090,0.0,0.0
2012-04-12,463.4702749545798,469.3974475383102,462.71589228680557,463.9013366699219,2826650,0.0,0.0
2012-04-13,468.15810672351495,476.5100379901974,458.0280089811024,460.63238525390625,2981160,0.0,0.0
2012-04-16,459.80633437654126,469.1461391355708,458.3874019304748,467.5296325683594,2931918,0.0,0.0
2012-04-17,472.2711947617371,480.28189756254153,463.5779858442639,478.77313232421875,5571009,0.0,0.0
2012-04-18,481.7188840705604,485.29317450885515,473.6004388660267,475.8455810546875,3300639,0.0,0.0
2012-04-19,476.81544354557536,477.7134805919246,468.9664004597976,473.3848571777344,2114534,0.0,0.0
2012-04-20,469.8644663708485,472.73829362578704,458.04603369613164,463.8834228515625,2760441,0.0,0.0
2012-04-23,461.1712535866183,469.0382539073929,449.02949999536776,450.3945617675781,3341821,0.0,0.0
2012-04-24,450.46637861863957,452.44211938418,436.5824215386474,437.7319030761719,6388141,0.0,0.0
2012-04-25,438.97112954562425,444.64690623811146,428.1944401433149,442.3837585449219,6283737,0.0,0.0
2012-04-26,443.64109528765204,444.9701938871888,436.9954542944296,440.6415710449219,3780180,0.0,0.0
2012-04-27,440.4081337816928,445.078034869816,432.28964026076756,438.3425598144531,2763339,0.0,0.0
2012-04-30,438.25276722141496,444.7187915749574,438.25276722141496,440.71343994140625,1956827,0.0,0.0
2012-05-02,440.04884800820474,444.3595140496004,435.0197129606534,436.2231140136719,2470268,0.0,0.0
2012-05-03,432.25369171003524,436.1153394257157,428.91293897551026,430.8168029785156,2898213,0.0,0.0
2012-05-04,428.8052206153966,428.8052206153966,406.6590897888041,412.0833740234375,6363870,0.0,0.0
2012-05-07,406.9285313409265,436.42079331723767,399.40278374643844,432.1100769042969,7239073,0.0,0.0
2012-05-08,432.34360179322437,434.30133652176386,414.54407595540715,416.2503662109375,4396351,0.0,0.0
2012-05-09,412.747883709004,426.685784324911,410.30516775886974,415.6037292480469,4351851,0.0,0.0
2012-05-10,416.8969081091709,426.38041373267663,413.50226014118584,414.88525390625,3143418,0.0,0.0
2012-05-11,410.5925405678981,418.8367313669306,403.6595163476821,408.7964172363281,4564158,0.0,0.0
2012-05-14,411.993481360571,430.3498119304535,398.54056362299747,416.4837646484375,14932732,0.0,0.0
2012-05-15,412.3886551296241,443.2818869783226,410.68234046751155,439.0610046386719,11236882,0.0,0.0
2012-05-16,432.4692569922487,438.57604692047465,429.4517756162102,433.1697692871094,6503508,0.0,0.0
2012-05-17,436.49258455206046,440.0489179000513,414.56201023501166,417.9746398925781,7619402,0.0,0.0
2012-05-18,409.5148833000747,420.93819178761044,407.75469812821024,417.1124572753906,5787510,0.0,0.0
2012-05-21,418.4954325601322,432.1459494601404,417.4177783481807,428.2843017578125,4134312,0.0,0.0
2012-05-22,433.331427822912,434.6605265668232,414.54403348192324,416.60955810546875,4457585,0.0,0.0
